sample,gene,quality
Twist-Roche-0720ME25_S5_L001,RYR1,46.151384615051825
Twist-Roche-0720ME25_S5_L001,TPM1,46.0518054863438
Twist-Roche-0720ME25_S5_L001,SDHC,44.90749498801621
Twist-Roche-0720ME25_S5_L001,STK11,46.52031895063119
Twist-Roche-0720ME25_S5_L001,MLH1,46.289007154620755
Twist-Roche-0720ME25_S5_L001,MSH2,45.281270255306666
Twist-Roche-0720ME25_S5_L001,APC,43.4327744767435
Twist-Roche-0720ME25_S5_L001,KCNH2,44.42373232799327
Twist-Roche-0720ME25_S5_L001,PCSK9,46.29541323701798
Twist-Roche-0720ME25_S5_L001,GLA,45.55215988278178
KAPAEnzyme-Roche-0720ME25_S66_L002,SMAD3,44.138017120603074
KAPAEnzyme-Roche-0720ME25_S66_L002,DSG2,44.22203688383913
KAPAEnzyme-Roche-0720ME25_S66_L002,SMAD4,44.927522064836836
KAPAEnzyme-Roche-0720ME25_S66_L002,KCNQ1,44.56079172291028
KAPAEnzyme-Roche-0720ME25_S66_L002,ACTC1,44.4027140530674
KAPAEnzyme-Roche-0720ME25_S66_L002,SCN5A,44.48912845573892
KAPAEnzyme-Roche-0720ME25_S66_L002,MYL2,45.98977200373105
KAPAEnzyme-Roche-0720ME25_S66_L002,DSC2,44.71952720033334
KAPAEnzyme-Roche-0720ME25_S66_L002,PKP2,44.35530533660013
KAPAEnzyme-Roche-0720ME25_S66_L002,PTEN,44.107581295749966
KAPAEnzyme-Roche-0720ME25_S66_L002,MUTYH,44.82765756459757
KAPAEnzyme-Roche-0720ME25_S66_L002,RYR2,45.0241537419888
KAPAEnzyme-Roche-0720ME25_S66_L002,ATP7B,44.2878284945631
KAPAEnzyme-Roche-0720ME25_S66_L002,ACTA2,45.20639451536832
KAPAEnzyme-Roche-0720ME25_S66_L002,FBN1,45.34947295979319
KAPAEnzyme-Roche-0720ME25_S66_L002,NF2,45.91350755881142
KAPAEnzyme-Roche-0720ME25_S66_L002,TNNT2,47.25984288701678
KAPAEnzyme-Roche-0720ME25_S66_L002,MSH6,42.73147708872068
KAPAEnzyme-Roche-0720ME25_S66_L002,TMEM43,46.27380133995034
KAPAEnzyme-Roche-0720ME25_S66_L002,MYL3,45.9393353378028
KAPAEnzyme-Roche-0720ME25_S66_L002,RB1,44.6492704520887
KAPAEnzyme-Roche-0720ME25_S66_L002,TSC1,44.719465242968454
KAPAEnzyme-Roche-0720ME25_S66_L002,MYH11,44.84746939275333
KAPAEnzyme-Roche-0720ME25_S66_L002,BRCA1,43.6074148816677
KAPAEnzyme-Roche-0720ME25_S66_L002,TNNI3,45.01194265625763
KAPAEnzyme-Roche-0720ME25_S66_L002,PRKAG2,46.476183306242085
KAPAEnzyme-Roche-0720ME25_S66_L002,CACNA1S,45.37211647809277
KAPAEnzyme-Roche-0720ME25_S66_L002,PMS2,44.171326949183154
KAPAEnzyme-Roche-0720ME25_S66_L002,TGFBR1,44.50824540732241
KAPAEnzyme-Roche-0720ME25_S66_L002,BMPR1A,44.55146334452051
KAPAEnzyme-Roche-0720ME25_S66_L002,TP53,45.104062090077676
KAPAEnzyme-Roche-0720ME25_S66_L002,WT1,44.12289801022958
KAPAEnzyme-Roche-0720ME25_S66_L002,LMNA,44.897291684125385
KAPAEnzyme-Roche-0720ME25_S66_L002,MYBPC3,45.28695959731109
KAPAEnzyme-Roche-0720ME25_S66_L002,BRCA2,42.78692182766964
KAPAEnzyme-Roche-0720ME25_S66_L002,COL3A1,45.488687821966536
KAPAEnzyme-Roche-0720ME25_S66_L002,TGFBR2,44.640048821093345
KAPAEnzyme-Roche-0720ME25_S66_L002,RET,44.88380524795581
KAPAEnzyme-Roche-0720ME25_S66_L002,SDHB,46.22692135451027
KAPAEnzyme-Roche-0720ME25_S66_L002,MYH7,44.9819887414294
KAPAEnzyme-Roche-0720ME25_S66_L002,DSP,43.38129645892906
KAPAEnzyme-Roche-0720ME25_S66_L002,LDLR,44.106113729890446
KAPAEnzyme-Roche-0720ME25_S66_L002,TSC2,44.87336515753172
KAPAEnzyme-Roche-0720ME25_S66_L002,VHL,44.19380059395111
KAPAEnzyme-Roche-0720ME25_S66_L002,OTC,45.0681996445618
KAPAEnzyme-Roche-0720ME25_S66_L002,APOB,43.14937669059873
KAPAEnzyme-Roche-0720ME25_S66_L002,MEN1,43.53642255356462
KAPAEnzyme-Roche-0720ME25_S66_L002,SDHAF2,44.79045276743934
KAPAEnzyme-Roche-0720ME25_S66_L002,RYR1,44.818467804218685
KAPAEnzyme-Roche-0720ME25_S66_L002,TPM1,45.19527694154857
KAPAEnzyme-Roche-0720ME25_S66_L002,SDHC,45.33935294263304
KAPAEnzyme-Roche-0720ME25_S66_L002,STK11,43.51872383587769
KAPAEnzyme-Roche-0720ME25_S66_L002,MLH1,45.19548459027238
KAPAEnzyme-Roche-0720ME25_S66_L002,MSH2,43.98555860791557
KAPAEnzyme-Roche-0720ME25_S66_L002,APC,43.17007040886395
KAPAEnzyme-Roche-0720ME25_S66_L002,KCNH2,43.52484779583317
KAPAEnzyme-Roche-0720ME25_S66_L002,PCSK9,44.98502853827174
KAPAEnzyme-Roche-0720ME25_S66_L002,GLA,44.54805700768892
Nextera-Roche-110465_S39_L002,SMAD3,43.45177935151763
Nextera-Roche-110465_S39_L002,DSG2,43.46621717825332
Nextera-Roche-110465_S39_L002,SMAD4,44.92936038112789
Nextera-Roche-110465_S39_L002,KCNQ1,45.175808314078346
Nextera-Roche-110465_S39_L002,ACTC1,42.93567255260013
Nextera-Roche-110465_S39_L002,SCN5A,42.86664755986702
Nextera-Roche-110465_S39_L002,MYL2,46.09491019410383
Nextera-Roche-110465_S39_L002,DSC2,44.44515157595229
Nextera-Roche-110465_S39_L002,PKP2,43.00576709146836
Nextera-Roche-110465_S39_L002,PTEN,42.94163969456058
Nextera-Roche-110465_S39_L002,MUTYH,42.63324895055935
Nextera-Roche-110465_S39_L002,RYR2,44.18404730338342
Nextera-Roche-110465_S39_L002,ATP7B,43.49070791203045
Nextera-Roche-110465_S39_L002,ACTA2,43.7592284058162
Nextera-Roche-110465_S39_L002,FBN1,45.07931630806078
Nextera-Roche-110465_S39_L002,NF2,45.189558468314594
Nextera-Roche-110465_S39_L002,TNNT2,45.102161329992505
Nextera-Roche-110465_S39_L002,MSH6,42.216481702310155
Nextera-Roche-110465_S39_L002,TMEM43,45.67705442137746
Nextera-Roche-110465_S39_L002,MYL3,43.83629978787745
Nextera-Roche-110465_S39_L002,RB1,44.29079763207949
Nextera-Roche-110465_S39_L002,TSC1,43.96611626918458
Nextera-Roche-110465_S39_L002,MYH11,43.792507876777265
Nextera-Roche-110465_S39_L002,BRCA1,42.688211701075154
Nextera-Roche-110465_S39_L002,TNNI3,44.8170387496365
Nextera-Roche-110465_S39_L002,PRKAG2,44.497694575425754
Nextera-Roche-110465_S39_L002,CACNA1S,44.35312512998306
Nextera-Roche-110465_S39_L002,PMS2,42.89225751376461
Nextera-Roche-110465_S39_L002,TGFBR1,44.7069473091386
Nextera-Roche-110465_S39_L002,BMPR1A,43.105618607162924
Nextera-Roche-110465_S39_L002,TP53,43.587156105268484
Nextera-Roche-110465_S39_L002,WT1,44.26899427574715
Nextera-Roche-110465_S39_L002,LMNA,43.29982000375267
Nextera-Roche-110465_S39_L002,MYBPC3,43.360206314322205
Nextera-Roche-110465_S39_L002,BRCA2,42.13845548370384
Nextera-Roche-110465_S39_L002,COL3A1,44.72426736664417
Nextera-Roche-110465_S39_L002,TGFBR2,43.381638163145354
Nextera-Roche-110465_S39_L002,RET,44.067436761008935
Nextera-Roche-110465_S39_L002,SDHB,44.11339700148513
Nextera-Roche-110465_S39_L002,MYH7,43.270030958310095
Nextera-Roche-110465_S39_L002,DSP,42.37519773490615
Nextera-Roche-110465_S39_L002,LDLR,43.776479550988306
Nextera-Roche-110465_S39_L002,TSC2,44.12809814317069
Nextera-Roche-110465_S39_L002,VHL,42.90044120051524
Nextera-Roche-110465_S39_L002,OTC,44.22828566973703
Nextera-Roche-110465_S39_L002,APOB,41.97098076487535
Nextera-Roche-110465_S39_L002,MEN1,42.444357999378354
Nextera-Roche-110465_S39_L002,SDHAF2,43.25625073251928
Nextera-Roche-110465_S39_L002,RYR1,43.62026445517773
Nextera-Roche-110465_S39_L002,TPM1,43.70831034402404
Nextera-Roche-110465_S39_L002,SDHC,43.26955922411297
Nextera-Roche-110465_S39_L002,STK11,43.05896922103354
Nextera-Roche-110465_S39_L002,MLH1,44.560516851303305
Nextera-Roche-110465_S39_L002,MSH2,43.93909883046431
Nextera-Roche-110465_S39_L002,APC,42.10916064299064
Nextera-Roche-110465_S39_L002,KCNH2,42.36423006607117
Nextera-Roche-110465_S39_L002,PCSK9,43.12220691943823
Nextera-Roche-110465_S39_L002,GLA,44.670229150478185
AgilentQXT-IDT-0720ME25_S12_L001,SMAD3,45.50178069957327
AgilentQXT-IDT-0720ME25_S12_L001,DSG2,43.143409456350604
