sample,gene,quality,technology
NexteraCap-IDT-1501199_S53_L002,SDHC,43.11925723985843,IDT
NexteraCap-IDT-1501199_S53_L002,STK11,45.08752913581161,IDT
NexteraCap-IDT-1501199_S53_L002,MLH1,42.917829656803235,IDT
NexteraCap-IDT-1501199_S53_L002,MSH2,42.210587524085675,IDT
NexteraCap-IDT-1501199_S53_L002,APC,41.37864203918863,IDT
NexteraCap-IDT-1501199_S53_L002,KCNH2,42.70307805840568,IDT
NexteraCap-IDT-1501199_S53_L002,PCSK9,43.804443796700255,IDT
NexteraCap-IDT-1501199_S53_L002,GLA,42.721718544542675,IDT
Twist-IDT-0720ME25_S13_L001,SMAD3,45.40283550185484,IDT
Twist-IDT-0720ME25_S13_L001,DSG2,43.23586695449208,IDT
Twist-IDT-0720ME25_S13_L001,SMAD4,44.70963599195487,IDT
Twist-IDT-0720ME25_S13_L001,KCNQ1,45.53742298203964,IDT
Twist-IDT-0720ME25_S13_L001,ACTC1,45.25530830621721,IDT
Twist-IDT-0720ME25_S13_L001,SCN5A,44.450179430927385,IDT
Twist-IDT-0720ME25_S13_L001,MYL2,46.17829726891159,IDT
Twist-IDT-0720ME25_S13_L001,DSC2,44.03495024103135,IDT
Twist-IDT-0720ME25_S13_L001,PKP2,44.79376618741264,IDT
Twist-IDT-0720ME25_S13_L001,PTEN,45.37655179321729,IDT
Twist-IDT-0720ME25_S13_L001,MUTYH,44.66137154735529,IDT
Twist-IDT-0720ME25_S13_L001,RYR2,44.81171701998144,IDT
Twist-IDT-0720ME25_S13_L001,ATP7B,44.74185413088492,IDT
Twist-IDT-0720ME25_S13_L001,ACTA2,44.945745717334724,IDT
Twist-IDT-0720ME25_S13_L001,FBN1,44.32894397202673,IDT
Twist-IDT-0720ME25_S13_L001,NF2,45.60394512478624,IDT
Twist-IDT-0720ME25_S13_L001,TNNT2,46.99621304625854,IDT
Twist-IDT-0720ME25_S13_L001,MSH6,42.52854882605198,IDT
Twist-IDT-0720ME25_S13_L001,TMEM43,46.451775366740826,IDT
Twist-IDT-0720ME25_S13_L001,MYL3,45.243439612505334,IDT
Twist-IDT-0720ME25_S13_L001,RB1,44.417279658475316,IDT
Twist-IDT-0720ME25_S13_L001,TSC1,44.80239918388981,IDT
Twist-IDT-0720ME25_S13_L001,MYH11,45.35502312448668,IDT
Twist-IDT-0720ME25_S13_L001,BRCA1,43.40126247644087,IDT
Twist-IDT-0720ME25_S13_L001,TNNI3,44.80403181492855,IDT
Twist-IDT-0720ME25_S13_L001,PRKAG2,45.06236261306898,IDT
Twist-IDT-0720ME25_S13_L001,CACNA1S,45.71331634687,IDT
Twist-IDT-0720ME25_S13_L001,PMS2,43.4125762696974,IDT
Twist-IDT-0720ME25_S13_L001,TGFBR1,44.41293330285923,IDT
Twist-IDT-0720ME25_S13_L001,BMPR1A,44.21845827041616,IDT
Twist-IDT-0720ME25_S13_L001,TP53,45.008570294521135,IDT
Twist-IDT-0720ME25_S13_L001,WT1,45.13360378935988,IDT
Twist-IDT-0720ME25_S13_L001,LMNA,44.783156809088695,IDT
Twist-IDT-0720ME25_S13_L001,MYBPC3,45.03985711489291,IDT
Twist-IDT-0720ME25_S13_L001,BRCA2,42.678109593161146,IDT
Twist-IDT-0720ME25_S13_L001,COL3A1,45.666250089044176,IDT
Twist-IDT-0720ME25_S13_L001,TGFBR2,44.718675436192115,IDT
Twist-IDT-0720ME25_S13_L001,RET,45.013536099522064,IDT
Twist-IDT-0720ME25_S13_L001,SDHB,46.2445085848144,IDT
Twist-IDT-0720ME25_S13_L001,MYH7,45.231383246528,IDT
Twist-IDT-0720ME25_S13_L001,DSP,43.47926239338228,IDT
Twist-IDT-0720ME25_S13_L001,LDLR,44.62872582211966,IDT
Twist-IDT-0720ME25_S13_L001,TSC2,45.23001298980119,IDT
Twist-IDT-0720ME25_S13_L001,VHL,43.94679385895168,IDT
Twist-IDT-0720ME25_S13_L001,OTC,43.94876104623379,IDT
Twist-IDT-0720ME25_S13_L001,APOB,42.979763289994146,IDT
Twist-IDT-0720ME25_S13_L001,MEN1,44.15486261549699,IDT
Twist-IDT-0720ME25_S13_L001,SDHAF2,43.83918285475116,IDT
Twist-IDT-0720ME25_S13_L001,RYR1,44.93569063144133,IDT
Twist-IDT-0720ME25_S13_L001,TPM1,44.52247455012864,IDT
Twist-IDT-0720ME25_S13_L001,SDHC,45.24153997078369,IDT
Twist-IDT-0720ME25_S13_L001,STK11,44.93446558170716,IDT
Twist-IDT-0720ME25_S13_L001,MLH1,45.78180777642336,IDT
Twist-IDT-0720ME25_S13_L001,MSH2,43.249006218152786,IDT
Twist-IDT-0720ME25_S13_L001,APC,42.816493839386766,IDT
Twist-IDT-0720ME25_S13_L001,KCNH2,43.651109605335364,IDT
Twist-IDT-0720ME25_S13_L001,PCSK9,45.816269392380136,IDT
Twist-IDT-0720ME25_S13_L001,GLA,43.77627307679572,IDT
Twist-Roche-0720ME25_S5_L001,SMAD3,44.77206723915658,Roche
Twist-Roche-0720ME25_S5_L001,DSG2,43.99052627863954,Roche
Twist-Roche-0720ME25_S5_L001,SMAD4,46.38443530785028,Roche
Twist-Roche-0720ME25_S5_L001,KCNQ1,47.80221592228168,Roche
Twist-Roche-0720ME25_S5_L001,ACTC1,45.49533775182798,Roche
Twist-Roche-0720ME25_S5_L001,SCN5A,45.28822701484426,Roche
Twist-Roche-0720ME25_S5_L001,MYL2,46.55504329795875,Roche
Twist-Roche-0720ME25_S5_L001,DSC2,45.148422423670105,Roche
Twist-Roche-0720ME25_S5_L001,PKP2,44.8889436861229,Roche
Twist-Roche-0720ME25_S5_L001,PTEN,44.211067279102345,Roche
Twist-Roche-0720ME25_S5_L001,MUTYH,45.65341887562217,Roche
Twist-Roche-0720ME25_S5_L001,RYR2,45.709003082445456,Roche
Twist-Roche-0720ME25_S5_L001,ATP7B,45.40936953350685,Roche
Twist-Roche-0720ME25_S5_L001,ACTA2,46.49972275336272,Roche
Twist-Roche-0720ME25_S5_L001,FBN1,46.233892471379505,Roche
Twist-Roche-0720ME25_S5_L001,NF2,46.857583581500954,Roche
Twist-Roche-0720ME25_S5_L001,TNNT2,48.61971131993277,Roche
Twist-Roche-0720ME25_S5_L001,MSH6,43.21678936265025,Roche
Twist-Roche-0720ME25_S5_L001,TMEM43,47.3282957643923,Roche
Twist-Roche-0720ME25_S5_L001,MYL3,48.50131043499553,Roche
Twist-Roche-0720ME25_S5_L001,RB1,45.04934830398917,Roche
Twist-Roche-0720ME25_S5_L001,TSC1,45.822801554578895,Roche
Twist-Roche-0720ME25_S5_L001,MYH11,45.99311091943486,Roche
Twist-Roche-0720ME25_S5_L001,BRCA1,44.445882767012314,Roche
Twist-Roche-0720ME25_S5_L001,TNNI3,46.74582666071125,Roche
Twist-Roche-0720ME25_S5_L001,PRKAG2,45.95131798624251,Roche
Twist-Roche-0720ME25_S5_L001,CACNA1S,46.96491392390779,Roche
Twist-Roche-0720ME25_S5_L001,PMS2,45.02862311848134,Roche
Twist-Roche-0720ME25_S5_L001,TGFBR1,45.71840139879137,Roche
Twist-Roche-0720ME25_S5_L001,BMPR1A,45.400558075206376,Roche
Twist-Roche-0720ME25_S5_L001,TP53,46.082414746629226,Roche
Twist-Roche-0720ME25_S5_L001,WT1,45.675135390233,Roche
Twist-Roche-0720ME25_S5_L001,LMNA,46.02917758191402,Roche
Twist-Roche-0720ME25_S5_L001,MYBPC3,45.88334198408022,Roche
Twist-Roche-0720ME25_S5_L001,BRCA2,42.820307202731186,Roche
Twist-Roche-0720ME25_S5_L001,COL3A1,46.82955580730144,Roche
Twist-Roche-0720ME25_S5_L001,TGFBR2,45.107390982075145,Roche
Twist-Roche-0720ME25_S5_L001,RET,45.91176335468277,Roche
Twist-Roche-0720ME25_S5_L001,SDHB,47.29527873657236,Roche
Twist-Roche-0720ME25_S5_L001,MYH7,45.821786447747954,Roche
Twist-Roche-0720ME25_S5_L001,DSP,44.431313860025504,Roche
Twist-Roche-0720ME25_S5_L001,LDLR,45.55624569560502,Roche
Twist-Roche-0720ME25_S5_L001,TSC2,46.1166947903472,Roche
Twist-Roche-0720ME25_S5_L001,VHL,45.4768903917599,Roche
Twist-Roche-0720ME25_S5_L001,OTC,45.39335487330454,Roche
Twist-Roche-0720ME25_S5_L001,APOB,43.51983980242779,Roche
Twist-Roche-0720ME25_S5_L001,MEN1,44.3965197548998,Roche
Twist-Roche-0720ME25_S5_L001,SDHAF2,44.908870103396275,Roche
Twist-Roche-0720ME25_S5_L001,RYR1,46.151384615051825,Roche
Twist-Roche-0720ME25_S5_L001,TPM1,46.0518054863438,Roche
Twist-Roche-0720ME25_S5_L001,SDHC,44.90749498801621,Roche
Twist-Roche-0720ME25_S5_L001,STK11,46.52031895063119,Roche
Twist-Roche-0720ME25_S5_L001,MLH1,46.289007154620755,Roche
Twist-Roche-0720ME25_S5_L001,MSH2,45.281270255306666,Roche
Twist-Roche-0720ME25_S5_L001,APC,43.4327744767435,Roche
Twist-Roche-0720ME25_S5_L001,KCNH2,44.42373232799327,Roche
Twist-Roche-0720ME25_S5_L001,PCSK9,46.29541323701798,Roche
Twist-Roche-0720ME25_S5_L001,GLA,45.55215988278178,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,SMAD3,44.138017120603074,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,DSG2,44.22203688383913,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,SMAD4,44.927522064836836,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,KCNQ1,44.56079172291028,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,ACTC1,44.4027140530674,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,SCN5A,44.48912845573892,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MYL2,45.98977200373105,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,DSC2,44.71952720033334,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,PKP2,44.35530533660013,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,PTEN,44.107581295749966,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MUTYH,44.82765756459757,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,RYR2,45.0241537419888,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,ATP7B,44.2878284945631,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,ACTA2,45.20639451536832,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,FBN1,45.34947295979319,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,NF2,45.91350755881142,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TNNT2,47.25984288701678,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MSH6,42.73147708872068,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TMEM43,46.27380133995034,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MYL3,45.9393353378028,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,RB1,44.6492704520887,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TSC1,44.719465242968454,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MYH11,44.84746939275333,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,BRCA1,43.6074148816677,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TNNI3,45.01194265625763,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,PRKAG2,46.476183306242085,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,CACNA1S,45.37211647809277,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,PMS2,44.171326949183154,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TGFBR1,44.50824540732241,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,BMPR1A,44.55146334452051,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TP53,45.104062090077676,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,WT1,44.12289801022958,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,LMNA,44.897291684125385,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MYBPC3,45.28695959731109,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,BRCA2,42.78692182766964,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,COL3A1,45.488687821966536,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TGFBR2,44.640048821093345,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,RET,44.88380524795581,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,SDHB,46.22692135451027,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MYH7,44.9819887414294,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,DSP,43.38129645892906,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,LDLR,44.106113729890446,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TSC2,44.87336515753172,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,VHL,44.19380059395111,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,OTC,45.0681996445618,Roche
