sample-name, LDLR ACTA2 MYH7 ATP7B MEN1 APOB TSC2 TNNT2 ACTC1 SCN5A TGFBR1 BMPR1A KCNQ1 GLA SMAD4 SMAD3 LMNA MUTYH CACNA1S APC SDHB PRKAG2 RET TNNI3 MYH11 BRCA1 MLH1 SDHC TMEM43 RYR1 TPM1 VHL OTC DSP MSH2 RB1 RYR2 SDHAF2 MSH6 FBN1 MYL2 WT1 BRCA2 DSG2 PKP2 PTEN DSC2 TGFBR2 TP53 MYBPC3 KCNH2 COL3A1 PMS2 PCSK9 STK11 NF2 TSC1 MYL3
IDT, 45.15785899481847 45.70687284584484 45.84713325884253 45.80275393566026 43.910321879074274 44.17157077106904 46.243629313231104 48.31686086421229 45.561330209922914 45.56857343690982 46.2206623916475 46.226783954609864 46.02990993671834 44.649969918567635 45.14135446764044 45.00049486121464 44.59604473217466 45.36523005785118 46.32415787907154 43.91520422013164 45.78586622319983 46.278282494187536 45.75896255031139 47.6747158069694 46.17256626135745 44.68363024654918 46.10779658370844 45.839260095777604 46.95086187950343 45.88024897444273 46.37409806743007 44.88164992773472 46.77431054095574 44.72328191701098 44.5045110062722 45.823615041790546 46.226180257481786 43.107796471693455 43.51508518924965 45.85864827320304 49.310827374391174 45.95236544077924 43.48370018835389 44.93794526623091 45.108012008534274 45.49786041965541 45.298330599102044 46.10099704652202 46.60765866680021 45.96623846093994 45.022836459528094 46.77821926003433 44.83753645109052 45.81935936647907 45.21457611145266 46.754391695266044 45.712949288662436 45.90040871116612
IDT, 45.68667084237212 47.32592683612049 46.62020461399 46.39461914909296 46.68572484492623 44.889360742124275 47.27205515386585 49.340597339727836 46.33199485404542 46.21850099425942 46.47542124795328 46.14237789580879 47.043426290881676 46.82393264746768 46.15565741728182 47.51037937081562 45.85890373773213 45.84823492019321 47.61702132011558 44.60673674315933 47.010208494286715 46.72333022848677 46.99694579798297 47.91048321294283 47.0722370778479 45.61797309105398 47.020535967376524 46.11878917168742 48.3827955708634 46.53939405323129 47.10813436646698 45.458195712492284 46.20103802454025 45.342469538730434 45.46274237679866 46.81765884138155 47.02238490785333 46.644474768309536 44.63022601839162 46.764894886225925 48.54274073200465 46.76018771989991 44.180788696541136 45.974111076580776 45.95375226674909 47.57771323449495 46.355567729117446 46.78534684383125 47.48835904573601 47.00655198422453 45.35226657000043 47.63836579139736 45.88861299463088 46.6611549502547 46.12040662582504 47.6308878237227 46.03616542092923 47.40542593324141
IDT, 44.863019823848646 46.46136837143401 45.94771374485583 45.33347647208282 44.92565131767471 43.20067281350422 46.15844248711349 47.714775205389955 45.01761774031013 45.357938268332056 45.4428911738799 44.9938851694763 46.11965342977877 44.49677572588996 44.728210579630705 44.92187312323077 44.61299172718983 45.28803841147271 46.34039060204373 43.477517158174216 46.12972606059508 45.581396746790205 45.3926477677411 47.19036986471461 45.88266882628038 44.46227183903745 45.383335183552674 45.989775021640085 47.135392363377676 45.78354493675706 45.39337073848291 43.96020480829913 43.53733221812196 44.08754054753862 44.334482704216036 45.66744677255361 45.35115268733138 44.14379910392555 42.92642608416975 45.456945369624435 45.600325962646366 45.45247251479337 42.93546177030897 44.041416675225086 44.64671882348381 44.99250327561336 44.502250285766785 45.226401610905405 45.97388760722439 45.42880711660828 44.705494611545326 46.6484038006162 44.26537870208482 45.675405832892416 45.07674030888108 46.44998960198238 45.53236476820908 46.19542575381872
IDT, 45.14127613209506 46.22600216932669 45.125053933027324 44.75255343577792 44.22607630913199 42.39582915904502 45.99458689320897 47.09153618918004 44.582178605855276 45.25949382508468 45.11750515014473 43.417677457918124 47.50259726463579 45.67065963332923 44.50103989275167 44.772359508708746 44.48563595183709 44.568630934842375 46.68051208523339 42.45562156728002 45.319998441813844 45.33757400035069 45.75972611021887 46.21984815911268 45.538930866962396 43.46476214617045 45.40598085182251 45.96634428901713 47.72041670450322 45.85020076693947 44.192391420012534 44.363326199731574 44.83692414465874 42.89827799183305 43.40920885510728 44.167203876480144 44.87262163398519 42.955249462366524 42.77572005852737 45.16450600945457 47.65908521643885 45.020858354819616 41.89084581697446 43.1377592477438 43.85602712839946 45.039896110433304 44.04428841344099 44.65167964071616 46.47700380364498 45.884331583094074 44.50825406322233 45.45957581471845 44.37666318049749 45.97613857069289 46.24200206168231 45.36846961840976 44.21761813667842 46.709794462784686
IDT, 45.86078410301615 47.542629978859225 46.57085964192148 46.11532422230646 45.654871697980624 44.57182063743139 47.196607090696496 48.493245632256716 46.06641188244122 46.199610778343896 45.87056255280854 46.12495950113691 46.90393190769435 46.228192338260165 46.81630366783876 46.17199318218627 45.70385654508849 46.0556548838251 47.24923896238163 44.34287571524693 47.00912923872784 47.216710180533696 46.53086046821971 47.15911311427893 46.12088165194312 45.31667787610058 46.6579698182622 46.187840081232004 47.89842928961326 46.358917572798994 47.052335417025844 45.285863479118504 45.76289059996242 45.03834780603504 45.005625616532846 46.494077570460114 46.756314305194714 44.89972936302968 43.745813181733126 46.4850907233341 49.715373841986825 46.78539828419564 43.74840107327987 44.95417037809708 45.650415741705736 45.992961043739115 45.60080525525975 46.49900521737931 46.69993992566562 46.51559478347756 44.91021368827158 47.772805336042346 45.046869939703406 46.41103562428926 45.691943950845825 46.84726059223127 45.9387811082489 48.0580373558776
IDT, 43.36254558989017 44.27639526163189 43.71952909877935 43.65691879584865 43.00143341548678 42.40459205996645 44.01192180918665 45.66962508069932 44.303135536622456 43.080733662432834 44.65339344300989 44.738616015197536 44.597098260282216 44.85476045440914 42.96861799965699 43.449433881948714 43.030740994897684 42.52918092932642 44.65720689882533 42.63043399110345 45.30269222412609 44.149291384402446 43.72101631670199 44.68977296138141 43.891005218518245 43.42752268321139 44.498958628184354 46.39992875631982 44.49665996416207 44.21082651399002 44.37348842811592 43.416491206235406 44.937812656957774 42.981544583758286 43.57804832472625 44.32455540085192 44.283551147384316 42.05603960741761 42.39251647024079 44.40611692876424 44.62441718471137 44.96531718860917 42.12456793406581 43.258666708919066 44.13553141817769 44.68075443853257 44.11682044169703 43.860271472737494 44.412882205017766 43.68294810791079 43.223833352286434 44.744784516056136 43.48116722964442 44.57250576326782 43.73485323791285 44.21626495149152 43.79742317206805 44.70942823300424
IDT, 44.62872582211966 44.945745717334724 45.231383246528 44.74185413088492 44.15486261549699 42.979763289994146 45.23001298980119 46.99621304625854 45.25530830621721 44.450179430927385 44.41293330285923 44.21845827041616 45.53742298203964 43.77627307679572 44.70963599195487 45.40283550185484 44.783156809088695 44.66137154735529 45.71331634687 42.816493839386766 46.2445085848144 45.06236261306898 45.013536099522064 44.80403181492855 45.35502312448668 43.40126247644087 45.78180777642336 45.24153997078369 46.451775366740826 44.93569063144133 44.52247455012864 43.94679385895168 43.94876104623379 43.47926239338228 43.249006218152786 44.417279658475316 44.81171701998144 43.83918285475116 42.52854882605198 44.32894397202673 46.17829726891159 45.13360378935988 42.678109593161146 43.23586695449208 44.79376618741264 45.37655179321729 44.03495024103135 44.718675436192115 45.008570294521135 45.03985711489291 43.651109605335364 45.666250089044176 43.4125762696974 45.816269392380136 44.93446558170716 45.60394512478624 44.80239918388981 45.243439612505334
IDT, 43.409342412678036 44.96389629833931 43.409315117027866 43.716940418860645 42.571927362567614 42.37218725204752 43.652518121121915 45.07605864487476 44.0510991768645 42.92051613722146 44.322370577489934 44.107839599517455 43.35549701600703 44.6933558356789 43.88127169515798 44.67409882720036 42.78275113452344 43.64489302796133 44.657982324380605 42.10537033424075 44.06731951538408 44.207610025804456 43.37662173125577 44.410560914372 43.286841486120764 43.25690650573336 44.39420806381782 44.42536886855743 45.511364543734686 43.88714692748509 43.36755629308993 44.273885428022055 43.84699318865699 42.96423473498345 43.73524350813242 44.03285540748301 44.22562195206073 43.3340515019249 42.17513920152865 43.76947369272336 45.490588350016495 44.50776870963292 42.26630848651257 42.97651498981836 43.163914162368144 44.62058491757232 44.060460603843055 42.935423082110326 44.39401987680979 43.811616558108916 42.99600883246186 44.76737984884114 43.8412888827964 43.05910556580103 42.988141817723694 45.12199290076877 44.119120223890036 43.55846856818107
IDT, 42.32678315996821 43.432486768532314 42.660983629040345 42.961850712187 41.64923588933001 41.45959611440067 42.59838309684793 45.23501764441841 42.87803900322784 42.45890123255581 44.04067038397714 43.33039685638534 43.85088875605943 43.57028367222251 42.97586665691072 44.15208195190164 42.10659111365519 42.03067954666789 43.16005054000968 41.40441933008845 43.990264799115614 43.440958330224646 42.56966282712121 43.257271734246835 42.85392148967827 42.62423676457758 43.846928504759454 42.840448306305525 44.43528626414129 43.052074325121716 43.346236621997804 43.76356889954313 42.495253232016545 42.10401036003629 43.042676255963734 43.80474521573671 43.388752683246075 42.07450568383018 41.32196283572234 43.25279905865476 43.89442265702035 44.37905143489882 41.53180878365131 41.86835351465751 42.88035098099842 43.08528133031961 42.60924390653244 42.23267329967887 41.883447764798134 42.77182383095256 42.19596087024066 43.9840055483143 42.74371688184719 42.89130493132024 43.1326756597932 43.97505419052685 42.986367980507225 42.92476410659648
IDT, 44.32615173654768 45.34037894400644 44.753972576156144 44.23067963329427 43.72858619472416 42.614745239827585 46.059329123467 48.16496000471498 44.30340521537019 44.967982406841585 43.986749275389236 43.53833073341499 46.43601403226743 44.57499285027533 43.834342413755486 45.04599984332345 44.72424439711925 44.60413213300268 45.94936635209264 42.30564561685299 44.98083133563467 44.865225553039586 44.91686661685554 46.00722908488762 44.7788314788723 43.26136048474735 44.939792786245555 44.274491608124904 47.37310116393307 45.54476006080749 44.51004722518444 43.786050561401375 44.652720938466906 42.91066029620397 43.56298849745869 44.44661778986193 44.30997358853195 42.373980861191804 42.64674046503367 44.52205965557019 46.76149334177805 44.69017147990925 41.835829465145714 43.39207313269583 44.3647433752399 44.38871411581589 43.94267941916332 43.9275684053673 45.72692426798959 45.822493848059416 44.40195660014426 45.49728417150203 44.327129804931076 45.96951108721495 45.99335698534308 45.849231423027625 44.55056269204727 45.84065567476804
