sample-name,LDLR ACTA2 MYH7 ATP7B MEN1 APOB TSC2 TNNT2 ACTC1 SCN5A TGFBR1 BMPR1A KCNQ1 GLA SMAD4 SMAD3 LMNA MUTYH CACNA1S APC SDHB PRKAG2 RET TNNI3 MYH11 BRCA1 MLH1 SDHC TMEM43 RYR1 TPM1 VHL OTC DSP MSH2 RB1 RYR2 SDHAF2 MSH6 FBN1 MYL2 WT1 BRCA2 DSG2 PKP2 PTEN DSC2 TGFBR2 TP53 MYBPC3 KCNH2 COL3A1 PMS2 PCSK9 STK11 NF2 TSC1 MYL3
AgilentQXT-GIAB,46.0130539966 45.5761480658 45.2461482533 44.3246599995 44.9201392376 42.377032774 46.3684366177 47.7085960459 45.3394838474 44.9145476968 44.4083362518 44.3171551702 48.3384226408 44.7611587039 44.9832575984 47.2653551339 46.2211696425 45.6285639641 46.3363177639 42.5046488248 45.2630700082 45.3226840585 45.9239529427 47.0683733691 45.6854158578 42.9308782618 45.4849306425 45.0481843158 47.3054670727 46.0740587589 44.6220672608 44.1353412393 45.3194155243 43.042012777 44.0106139577 45.2409225532 44.9018369428 43.2643048635 42.3736770563 45.6101745182 47.8764520836 45.3827417837 41.8051794699 43.7746895754 44.512257869 43.917134012 44.5169917325 44.5455238859 45.4332919564 45.9446333332 44.6367572653 45.4093053818 44.2813325344 46.3165897375 45.4419667089 46.2321579893 44.706778034 47.8040322417
AgilentQXT-GIAB,45.1626887538 45.5179030065 45.0086343788 44.9367060379 44.7965499755 42.97273186 46.0072415764 48.3363137366 44.606827403 45.4259328327 44.2605217888 44.7004806387 46.078349235 44.8515316912 44.5335537856 45.6836842672 44.9243999011 44.9468583838 45.9299438496 42.533461623 45.5482651355 44.5727496954 45.5236155509 46.0215955051 45.4080305252 42.9145411782 45.5199148631 46.4587566185 46.8157671263 45.8785271328 45.1183693338 43.6802321558 44.1776871613 43.1606840284 43.6622207888 44.6575865048 44.5892153495 42.8794597134 42.400879389 44.3497902292 47.9852365206 45.3304485212 42.1905742049 43.5740433452 44.5741365833 44.4004019167 44.105372962 43.8702459395 45.4727019816 46.2528769443 44.3792429974 45.8188099076 44.0312979526 46.1165257395 45.728533084 45.9356114303 44.5947941473 46.4599004082
KAPACovaris-0720ME25,40.4277845782 40.2318329286 40.0059443069 39.8483721149 39.5383516541 39.1524901432 40.3494833516 40.6810660778 40.0956814962 40.0243942176 40.5091906391 39.8909018597 40.1123517711 40.236267511 40.2103857912 40.0449998539 39.7912863522 40.0735784432 40.3489637383 39.1505654065 40.9608561718 40.680962904 40.4555650767 40.0643361947 40.326024211 39.6003355056 41.070003093 40.7535075041 40.3196319794 40.0701972799 40.6159388299 39.6705422564 40.5142693657 39.4303230636 40.0987723813 40.7356688421 40.396432279 39.4771044195 39.3660380051 40.5452736129 41.2443120702 40.6190014736 39.2997714969 39.8414294269 39.9584023728 40.3295370968 39.8642674394 40.6290778516 40.8661222833 40.0741133477 39.5839766637 40.9733039212 40.0826218922 39.962746371 39.8290815292 41.1545110483 40.1399500901 40.9881759009
KAPACovaris-110465,40.6605031622 41.6460976401 40.8307698645 40.6362294085 40.5135136197 39.9529248973 41.5346734477 41.9837871159 40.8603958006 40.9851826372 41.2445563922 40.8383584769 41.096352653 41.3857568898 40.9396544432 41.1192217446 41.3375993657 40.6827748332 41.605275474 40.1750743912 43.1681528578 42.1587580063 41.0531775679 41.3418130631 41.0976584905 40.5505901689 41.6112896509 41.2606878166 42.3592468996 41.1220895278 41.5668664591 40.8464050664 41.8756085178 40.2487635687 41.327746439 41.9503741719 41.1831903122 40.8208543154 39.8858241299 41.5928967748 42.0770785979 42.0334052929 40.0274200835 40.5693647374 40.8313844631 41.0559263814 40.7458496514 40.9271289383 41.1636360149 40.9596345492 40.6738465603 41.8408874306 41.0914716102 41.2281789357 40.9301026053 41.7236515598 41.0688812642 40.902198369
KAPACovaris-1501199,40.2743574363 40.1271198733 39.7617841224 39.6411666396 39.3047277552 39.0731997301 40.2991992145 40.7877489666 39.8192305027 40.0586949392 40.2097878966 39.8194094097 40.2849974834 40.2264452729 39.7363965342 39.6823619982 39.5721942784 40.3785219494 40.3719977309 38.9385635882 40.550301667 40.4020590915 39.903394065 40.6570890857 40.1091521923 39.3528232525 40.5272453475 40.3992246918 40.5384369651 39.77088594 40.2501057423 40.054124484 40.6450699608 39.3142920794 40.7239288073 40.5449238167 40.2602491529 39.6824540274 39.2085709871 40.206063647 41.0766979431 39.9109471897 39.0920720506 39.4761664768 39.7853355543 39.9634543204 39.8172698922 39.7214962307 39.7262953076 40.1466860458 39.1772804218 40.3393230739 39.7831782075 39.6386466559 39.7277419265 40.9608311316 39.9853527333 40.2860645846
KAPACovaris-GIAB,40.9170112125 41.2177370408 40.3456944154 40.2408532618 40.0561466481 39.796775778 40.8471431304 41.5954534911 40.9031797076 40.4403580329 41.0569924282 41.0834651457 40.7467752431 40.9940792203 40.6757284428 40.3679346415 40.2625045298 40.5024307858 41.2037243408 39.9160412195 42.02686001 41.4044290273 40.5205358724 41.2288945861 40.6785862912 40.3847974995 41.1118198551 40.5827257896 41.3067790941 40.5715011956 40.9901362479 40.1255706317 41.8066854134 40.0505915291 40.781537432 41.6258004442 41.0965694528 40.3059536388 39.7197004443 41.2580814727 41.2121422684 40.5135525112 39.8749572909 40.2772390388 40.5251954761 40.8898218479 40.6020128471 40.5525346686 40.9447646287 40.3994781801 39.8668409495 41.3113108133 40.4936541012 40.7726554983 40.9154217115 41.3409387338 40.885897628 41.5347019224
KAPAEnzyme-0720ME25,44.1061137299 45.2063945154 44.9819887414 44.2878284946 43.5364225536 43.1493766906 44.8733651575 47.259842887 44.4027140531 44.4891284557 44.5082454073 44.5514633445 44.5607917229 44.5480570077 44.9275220648 44.1380171206 44.8972916841 44.8276575646 45.3721164781 43.1700704089 46.2269213545 46.4761833062 44.883805248 45.0119426563 44.8474693928 43.6074148817 45.1954845903 45.3393529426 46.27380134 44.8184678042 45.1952769415 44.193800594 45.0681996446 43.3812964589 43.9855586079 44.6492704521 45.024153742 44.7904527674 42.7314770887 45.3494729598 45.9897720037 44.1228980102 42.7869218277 44.2220368838 44.3553053366 44.1075812957 44.7195272003 44.6400488211 45.1040620901 45.2869595973 43.5248477958 45.488687822 44.1713269492 44.9850285383 43.5187238359 45.9135075588 44.719465243 45.9393353378
KAPAEnzyme-0720ME25,48.1394522509 48.8911046447 48.7810451866 47.5198613372 47.0100037363 45.7509884431 48.5762769036 50.4808773953 47.6685786013 48.023734049 47.48852229 47.6111726126 48.8385290553 47.7964331887 47.5401605291 48.6112080632 46.9942994132 47.5628018027 48.748641907 45.7673193605 49.0882918079 48.5480522954 48.343690793 48.1788488317 48.9373203551 46.4414791028 48.2081748496 47.7734781618 48.83845042 48.3446393081 47.723399355 46.4079987937 47.8790001245 46.7597298084 47.5097552504 47.4613051879 47.7802227994 46.9044054424 45.6902854301 48.6526718049 48.4955464104 48.4085989589 45.2195281696 46.7553785262 47.5253337192 47.3046944191 47.2022940571 47.4937893253 48.7176362975 48.8244807199 46.9549559327 48.5666048743 47.1997155952 48.5458264387 46.8120177582 48.5485910374 48.1556048127 49.212397463
KAPAEnzyme-0720ME25,45.860784103 47.5426299789 46.5708596419 46.1153242223 45.654871698 44.5718206374 47.1966070907 48.4932456323 46.0664118824 46.1996107783 45.8705625528 46.1249595011 46.9039319077 46.2281923383 46.8163036678 46.1719931822 45.7038565451 46.0556548838 47.2492389624 44.3428757152 47.0091292387 47.2167101805 46.5308604682 47.1591131143 46.1208816519 45.3166778761 46.6579698183 46.1878400812 47.8984292896 46.3589175728 47.052335417 45.2858634791 45.7628906 45.038347806 45.0056256165 46.4940775705 46.7563143052 44.899729363 43.7458131817 46.4850907233 49.715373842 46.7853982842 43.7484010733 44.9541703781 45.6504157417 45.9929610437 45.6008052553 46.4990052174 46.6999399257 46.5155947835 44.9102136883 47.772805336 45.0468699397 46.4110356243 45.6919439508 46.8472605922 45.9387811082 48.0580373559
KAPAEnzyme-110465,49.2024833968 50.5054832456 50.1998730668 49.3883377634 48.1894502958 47.6021514328 50.218679374 51.4862778765 49.4882390444 49.9505567884 49.8058816489 49.1746505456 51.0280532299 48.9661510125 49.1543747799 49.6296684744 50.2908783765 49.8195818746 51.1598901932 47.2224262525 51.3501575792 50.3517318697 49.7330120078 50.1567732871 50.7018957714 48.2649620499 50.0968613338 49.9949617101 50.1392080411 50.0968427711 49.4162212623 49.2800308148 49.6210084917 48.5431047112 48.8337067722 49.2310609328 49.6046270837 47.9676082153 47.5258211243 50.2468580577 50.9611920922 49.5032670404 46.7731057401 48.5111597489 49.3014699958 49.6737998056 48.8246519616 49.5561619793 49.3947123792 50.7016343296 48.1606212342 50.2081962366 49.272273743 49.2263373929 47.7757748101 50.8295760664 49.8398175624 49.4613259378
